iteration,tpd_particle_1,tpd_particle_2,tpd_particle_3,tpd_particle_4,tpd_particle_5
89,46.32,40.6,61.05,39.47,39.09
90,60.19,38.42,40.96,40.96,44.26
91,58.11,39.09,40.96,44.62,46.32
92,38.02,44.26,40.6,41.23,46.32
93,58.11,40.44,40.6,41.26,40.44
94,44.62,46.32,61.05,41.18,46.32
95,41.23,61.05,61.05,44.26,60.19
96,37.67,61.05,40.96,40.44,46.32
97,41.68,40.96,40.96,46.32,40.96
98,41.32,40.96,40.6,61.05,46.32
99,43.39,44.62,40.6,44.26,46.32
100,58.11,41.23,39.58,40.96,39.58
101,43.39,44.26,39.58,44.62,39.47
102,43.39,40.44,44.62,44.52,46.32
103,58.11,46.32,44.62,38.16,46.32
104,37.67,61.05,41.23,61.05,44.52
105,40.96,46.32,61.05,44.26,39.47
106,40.96,60.19,61.05,40.96,44.52
107,40.96,38.1,40.96,46.32,44.52
108,61.05,40.96,44.26,44.62,40.6
109,61.05,38.1,40.6,41.23,44.62
110,40.96,40.6,46.32,40.96,41.23
111,44.62,40.96,40.96,39.47,39.47
112,44.52,39.09,39.09,61.05,39.47
113,40.96,46.32,40.6,40.44,44.26
114,40.96,37.84,40.44,46.32,46.32
115,38.02,39.47,46.32,61.05,46.32
116,46.24,40.96,46.32,41.23,61.05
117,41.68,61.05,37.84,40.96,39.47
118,46.32,40.6,39.47,38.42,44.62
119,46.32,40.96,61.05,40.6,41.23
120,46.32,44.62,41.23,40.96,40.6
121,60.19,61.05,40.96,46.32,46.32
122,46.32,37.74,44.62,61.05,46.32
123,60.19,40.96,41.23,38.16,61.05
124,61.05,44.26,37.77,40.96,46.32
125,46.32,44.62,40.44,44.62,61.05
126,40.96,44.52,46.32,41.23,44.52
127,40.96,46.32,40.44,61.05,40.96
128,40.96,46.32,46.32,39.09,40.96
129,46.32,38.16,40.96,44.26,46.32
130,40.96,46.32,39.58,40.96,40.6
131,46.32,39.47,40.96,44.52,39.47
132,46.32,46.32,44.62,40.6,46.32
133,60.19,46.32,41.23,39.09,46.32
134,38.16,61.05,46.32,40.96,60.19
135,61.05,39.58,46.32,38.1,46.32
136,44.62,41.26,44.26,41.18,46.32
137,41.23,44.62,46.32,61.05,46.32
138,44.62,41.23,46.32,61.05,40.96
139,41.23,38.42,61.05,40.96,46.32
140,44.26,39.58,60.19,40.96,46.32
141,40.96,44.26,46.32,44.62,46.32
142,46.32,44.62,44.62,41.23,46.32
143,40.96,46.32,41.23,39.09,44.26
144,46.32,60.19,40.6,40.96,40.44
145,61.05,44.52,46.32,44.26,46.32
146,41.26,46.32,46.32,44.52,61.05
147,41.18,44.52,46.32,46.32,46.32
148,44.62,46.32,46.32,61.05,44.62
149,38.29,37.84,61.05,39.58,46.32
150,58.11,39.47,39.47,40.96,40.96
151,43.39,39.58,40.96,44.62,39.47
152,41.58,60.19,61.05,44.62,46.32
153,43.39,44.62,41.18,41.23,46.32
154,60.19,46.32,40.96,39.09,39.47
155,37.84,46.32,39.09,44.26,46.32
156,40.96,40.96,46.32,44.26,46.32
157,36.64,39.47,46.32,46.32,46.32
158,37.67,40.6,46.32,41.23,40.96
159,43.39,46.32,46.32,38.16,61.05
160,38.29,46.32,61.05,61.05,40.6
161,61.05,40.44,46.32,38.16,40.96
162,40.96,46.32,40.96,40.96,44.62
163,40.96,46.32,40.6,44.62,61.05
164,41.26,60.19,40.6,46.32,37.74
165,41.18,39.47,39.09,61.05,39.58
166,38.02,44.62,44.62,38.42,44.26
167,43.39,44.62,41.23,44.26,44.62
168,43.39,44.62,39.47,44.26,46.32
169,43.39,41.23,39.47,46.32,39.47
170,43.39,44.26,44.26,40.96,40.6
171,46.32,44.26,61.05,39.09,38.16
172,46.32,46.32,44.52,61.05,40.96
173,60.19,46.32,40.96,37.76,38.1
174,46.32,61.05,38.1,40.96,46.32
175,43.39,46.32,40.6,61.05,46.32
176,43.39,40.96,39.58,40.6,39.47
177,38.32,44.62,46.32,40.96,46.32
178,61.05,41.23,46.32,44.62,46.32
179,38.16,37.84,46.32,41.23,61.05
180,38.02,39.09,46.32,40.96,46.32
181,41.68,44.26,40.96,39.47,61.05
182,38.25,46.32,44.26,46.32,39.09
183,43.39,46.32,40.6,40.44,44.62
184,57.26,61.05,46.32,46.32,41.23
185,38.02,61.05,46.32,40.96,40.6
186,38.02,40.96,41.23,41.26,37.77
187,57.21,44.26,39.58,41.18,44.26
188,43.39,46.32,39.47,61.05,44.52
189,58.11,46.32,44.62,44.62,46.32
190,43.39,46.32,41.23,41.23,46.32
191,41.32,60.19,46.32,44.62,46.32
192,43.39,39.47,61.05,41.23,60.19
193,43.39,40.96,46.32,44.26,60.19
194,58.11,61.05,46.32,40.44,40.96
195,39.09,40.6,44.52,46.32,40.96
196,40.96,40.96,40.6,61.05,40.6
197,40.96,44.62,61.05,46.32,40.6
198,61.05,41.23,44.26,46.32,40.96
199,37.84,38.1,40.96,38.16,39.09
200,61.05,40.6,46.32,40.96,40.6
